# 中国境内电视直播线路 (仅限1080p高清以上)
# 更新时间: 2025-12-07 18:26:23
# 数据来源: 多个GitHub IPTV项目
# 频道总数: 455
# 线路总数: 496
# 清晰度要求: 仅保留1080p高清及以上线路
############################################################

春晚,#genre#
2024吉林卫视春节联欢晚会,https://v10.dious.cc/20240208/9ahrnAPw/index.m3u8
2024天津卫视相声春晚,https://top.1080pzy.co/202402/11/wgYVqXxrEh3/video/index.m3u8
2024安徽卫视春节联欢晚会,https://v10.dious.cc/20240208/LHLdSBLv/index.m3u8
2024江苏卫视龙年春节联欢晚会,https://top.1080pzy.co/202402/11/h1veKVuUdX3/video/index.m3u8
2024湖南卫视芒果TV春节联欢晚会,https://top.1080pzy.co/202402/04/MjEwstGXHa3/video/index.m3u8
2024辽宁卫视春节联欢晚会“龙腾盛世中国年”上,https://v10.dious.cc/20240209/J95B9fT5/index.m3u8
2024辽宁卫视春节联欢晚会“龙腾盛世中国年”下,https://v10.dious.cc/20240209/HWVp60d1/index.m3u8

央视,#genre#
CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227088/index.m3u8
CCTV1,http://zteres.sn.chinamobile.com:6060/yinhe/2/ch00000090990000001068/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV1,https://smart.dxjc.pp.ua/smart.php?id=cctv1&token=tmxk
CCTV1,http://xtvantsc.xyz/Smart.php?id=cctv1
CCTV1,http://goo.bkpcp.top/mg/cctv1
CCTV1,http://39.134.24.24/PLTV/88888888/224/3221225684/index.m3u8
CCTV1,http://genglei.8866.org:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,https://live.tvfix.org/live/cctv1hd/index.m3u8
CCTV1,http://124.116.183.146:9901/tsfile/live/0001_1.m3u8
CCTV1_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000030810/1.m3u8?channel-id=bestzb&Contentid=5000000010000030810&livemode=1&stbId=m
CCTV1港澳版,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV1,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/600/index.m3u8?msisdn=202512080202039a440630e45b438eb05d521bffc86268&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20251208020203&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=218.28.233.106&SecurityKey=20251208020203&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-8.11.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=dfffaf49b705882c73d5e349d45615ab&ddCalcu=bdafv5fa1fy6aa5f44d99b4730e558d8327c&sv=10004&ct=android
RTHK-33,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
中央電視台綜合（CCTV-1綜合),https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
CCTV2,http://zteres.sn.chinamobile.com:6060/yinhe/2/ch00000090990000001293/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV2,http://xtvantsc.xyz/Smart.php?id=cctv2
CCTV2,http://goo.bkpcp.top/mg/cctv2
