🕘️更新时间,#genre#
2026-02-01 23:54:40

4K频道,#genre#
CCTV16 4K,http://sakura.dynv6.net:64785/rtp/239.111.205.134:5140
CCTV16 4K,http://ddns.xryo.cn:8888/rtp/239.111.205.134:5140
CCTV4K,http://198.204.240.250:82/live/cctv4k.m3u8?jsbt=1760148172&jsbk=8ce47519e62b009dfa80f8fbfb2dd932
CCTV4K,http://198.204.240.250:82/live/cctv4k.m3u8?jsbt=1760495957&jsbk=138a7cd8fb02f369c744cf0ceb413e85
CCTV4K,http://b.tvbox6.icu/tv/ysp.php?id=19
CCTV4K,http://183.236.43.98:4111/udp/239.77.0.194:5146
CCTV4K,http://183.236.43.98:4111/udp/239.77.0.174:5146
CCTV4K,http://27.184.65.134:58888/rtp/239.254.201.67:6000
CCTV4K,https://www.nettvpro.xyz/player/videojs.php?url=https://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV4K,http://61.140.126.120:10000/udp/239.77.0.174:5146
CCTV4K,http://61.140.126.120:10000/udp/239.77.0.194:5146
CCTV4K,http://114.246.181.35:4022/udp/239.3.1.245:2000
CCTV4K,http://124.116.170.138:8081/udp/239.111.205.38:5140
CCTV4K,http://124.116.170.138:8081/udp/239.111.205.40:5140
CCTV4K,http://ikuai.sunjianwu.fun:8800/udp/239.49.0.82:8000
CCTV4K,http://116.233.38.8:8888/udp/233.18.204.204:5140
CCTV4K,http://116.233.38.8:8888/udp/233.18.204.188:5140
CCTV4K,http://ydl.yueyaoxian.top:8686/udp/239.3.1.245:2000
CCTV4K,http://121.226.125.152:7777/udp/239.49.0.82:8000
CCTV4K,http://www.yahao.host:4022/udp/239.77.0.174:5146
CCTV4K,http://www.yahao.host:4022/udp/239.77.0.194:5146
CCTV4K,http://171.83.103.119:9999/udp/239.69.1.111:10304
CCTV4K,http://p.ytelc.com/169l/0/cctv.php?id=cctv4k
CCTV4K,http://www.tszhgjj.cn:7000/rtp/239.253.93.134:6631
CCTV4K,http://fn.tmde.top:35455/nptv/cctv4k.m3u8
CCTV4K,http://xc.mfykeke.top:35455/nptv/cctv4k.m3u8
CCTV4K,http://101.43.145.141:12002/gaoma/cctv4k.m3u8
CCTV4K,http://160.202.238.87:12395/live2.rxip.sc96655.com/live/ys4Kcq_2000.m3u8?E&U&A&K&P&S
CCTV4K,http://223.105.252.60/PLTV/4/224/3221228472/index.m3u8?servicetype=1
CCTV4K,http://dl.wifi942.com:66/jsyd/jsyd.php?id=G_CCTV-4K-HD
CCTV4K,http://ott.mobaibox.com/PLTV/3/224/224/3221228228/index.m3u8
CCTV4K,http://tvgslb.hn.chinamobile.com:8089/180000001002/32023092211020848462000290559536/main.m3u8?stbid=
CCTV4K,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229373/1/index.m3u8?fmt=ts2hls
CCTV4K,https://iptv.catvod.com/live.php?id=CCTV4K
CCTV4K,https://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv4k_mbd.m3u8?auth_key=1770030000-1-b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c-a60bcd17945a3543fb9d4f56a9fb2b6a&yid=b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c
CCTV4K,http://58.62.235.86:10000/udp/239.77.0.194:5146
CCTV4K,http://58.62.235.86:10000/udp/239.77.0.174:5146
CCTV4K,http://3501776.xyz:35455/gaoma/cctv4k.m3u8
CCTV4K,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221227140/index.m3u8
CCTV4K,http://phb888.myds.me:35455/nptv/cctv4k.m3u8
CCTV4K,http://aiony.top:35455/nptv/cctv4k.m3u8
CCTV4K,http://leo0911.mycloudnas.com:35455/nptv/cctv4k.m3u8
CCTV4K,https://shyd.695847.xyz/cms001/ch00000090990000001451/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
CCTV4K,http://yemingjkl.x3322.net:35455/nptv/cctv4k.m3u8
CCTV4K,http://xiaoya.crccxw.top:35455/nptv/cctv4k.m3u8
CCTV4K,http://jackgao.top:35455/nptv/cctv4k.m3u8
CCTV4K,http://sakura.dynv6.net:64785/rtp/239.111.205.40:5140
CCTV4K,http://sakura.dynv6.net:64785/rtp/239.109.205.192:9608
CCTV4K,http://ddns.xryo.cn:8888/rtp/239.111.205.40:5140
CCTV4K,http://ddns.xryo.cn:8888/rtp/239.109.205.192:9608
CCTV8K,http://b.tvbox6.icu/tv/ysp.php?id=20
CCTV8K,http://fn.tmde.top:35455/nptv/cctv8k.m3u8
CCTV8K,http://xc.mfykeke.top:35455/nptv/cctv8k.m3u8
CCTV8K,https://iptv.catvod.com/live.php?id=CCTV8K
CCTV8K,http://3501776.xyz:35455/gaoma/cctv8k_36m.m3u8
CCTV8K,http://yemingjkl.x3322.net:35455/nptv/cctv8k.m3u8
CCTV8K,http://xiaoya.crccxw.top:35455/nptv/cctv8k.m3u8
CCTV8K,http://jackgao.top:35455/nptv/cctv8k.m3u8
东方卫视4K,http://bp-resource-dfl.bestv.cn/148/3/video.m3u8
东方卫视4K,https://bp-resource-dfl.bestv.cn/148/3/video.m3u8
东方卫视4K,https://www.shqsy.com/zgst.php?id=sh4k
东方卫视4K,http://yulang132.cn:58888/udp/239.94.0.119:5140$四川电信3
东方卫视4K,http://yulang132.cn:58888/udp/239.94.0.120:5140$四川电信3
东方卫视4K,http://124.116.170.138:8081/rtp/239.111.205.67:5140?$3840x2160
东方卫视4K,http://ddns.xryo.cn:8888/udp/239.111.205.67:5140
东方卫视4K,http://vl15191373.imwork.net:8880/udp/239.94.0.119:5140$四川电信2
东方卫视4K,http://vl15191373.imwork.net:8880/udp/239.94.0.120:5140$四川电信2
东方卫视4K,http://43.251.226.89:8080/play/926.m3u8
东方卫视4K,https://shyd.695847.xyz/cms001/ch00000090990000001641/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
东方卫视4K,http://marswjf.coralangel.com:7088/udp/239.94.0.119:5140$四川电信1
东方卫视4K,http://marswjf.coralangel.com:7088/udp/239.94.0.120:5140$四川电信1
北京IPTV4K,http://39.134.135.80/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226550/1.m3u8?zoneoffset=480&servicetype=1&icpid=88888888&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=~~V2.0~e2qS8h6u-xp3gd50vNr1sw~Q8NsqL2Ii48SUgC4QMl6hh6MtnXuZ2CwNhT-dTFoMLL2G3Q2BYmATYXRv1nKmDi5C1jJAt50zoNF4cIM-01_7rCa0ZemjVk37nsYr4Zr0bk~ExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240802122114%2C162944%2C119.123.69.186%2C20240802122114%2C10000100000000050000000003887500%2C162944%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000007266388_0%2CEND&GuardEncType=2&RTS=1729247386&from=6&ocs=2_39.135.238.65_80&popid=6&hms_devid=3771&prioritypopid=6&vqe=31%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000007266388_0%2CEND&GuardEncType=2&RTS=1729247386&from=6&ocs=2_39.135.238.65_80&popid=6&hms_devid=3771&prioritypopid=6&vqe=3
北京IPTV4K,http://[2409:8087:1:20:20::26]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226550/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~e2qS8h6u-xp3gd50vNr1sw~_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPPFD3HVWEytEVyliOxehfe%2CEND
北京IPTV4K,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226550/1.m3u8?
北京IPTV4K,http://[2409:8087:8:21::04]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226550/1.m3u8?
