🕘️更新时间,#genre#
2026-09-17 21:56:52

4K频道,#genre#
CCTV16 4K,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001258/index.m3u8$IPV6
CCTV4K,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227140/index.m3u8
CCTV4K,http://[2409:8087:2001:20:2800:0:df6e:eb26]:80/ott.mobaibox.com/PLTV/3/224/3221228472/index.m3u8$IPV6
CCTV4K,http://183.236.43.98:4013/udp/239.77.0.194:5146$广东电信11
CCTV4K,http://60.4.29.46:8077/rtp/239.253.92.219:6228$河北联通11
CCTV4K,http://106.59.2.108:55555/rtp/239.200.200.202:8784$云南电信11
CCTV4K,http://183.164.237.165:8888/rtp/238.1.78.137:6968$安徽电信11
CCTV4K,http://183.236.43.98:4013/udp/239.77.0.174:5146$广东电信12
CCTV4K,http://60.4.29.46:8077/rtp/239.253.93.134:6631$河北联通12
CCTV4K,http://106.59.2.196:55555/rtp/239.200.200.202:8784$云南电信21
CCTV8K,http://[2409:8087:2001:20:2800:0:df6e:eb02]:80/wh7f454c46tw2749731958_105918260/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8?icpid=3&RTS=1681529690&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3$IPV6
东方卫视4K,http://bp-resource-dfl.bestv.cn/148/3/video.m3u8
东方卫视4K,https://bp-resource-dfl.bestv.cn/148/3/video.m3u8
东方卫视4K,http://go.bkpcp.top/mg/dfws
北京卫视4K,http://120.87.19.109:80/PLTV/88888973/224/3221226680/371059534.smil/01.m3u8?fmt=ts2hls,244,01.m3u8&accountinfo=VDZkqe2wDG/DozHtN5Qt2rSqeZkQUG07rgE0zxej+vXlUY3cxzF4b4EdoFXUYfIFrZU17scXXfWzTQ5WGY4N6AWZ1F4+6A1eDkDeh5XZlpvpn23wIF+ldb6dnBPa8zHj3,END&tenantId=8601
北京卫视4K,http://120.87.19.109:80/PLTV/88888973/224/3221226685/371059429.smil/01.m3u8?fmt=ts2hls,244,01.m3u8&accountinfo=7P9/PZjGeZIv+PttGdhw9fGClzuqx/sLFLhIzoPz02Vo9yI5oCqbIdWBM0myx3pTLUCRGUKVQU6nPwKEvLSJmPtfJ+e5cuPukUHUQrsTrlmMAcBkbs8LL691ccJjISEL,END&tenantId=8601
欢笑剧场4K,http://111.29.9.33:6610/000000001000/5000000002000009455/index.m3u8?channel-id=bestzb&Contentid=5000000002000009455&livemode=1&stbId=3
浙江卫视4K,http://ali-xwl.cztv.com/live/channel4k2160p.m3u8
浙江卫视4K,http://go.bkpcp.top/mg/zjws
湖南卫视4K,https://txmov2.a.kwimgs.com/bs3/video-hls/5199687338554291078_hlsb.m3u8
湖南卫视4K,http://go.bkpcp.top/mg/hunws
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8

央视频道,#genre#
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8
CCTV1,http://204.12.221.218:8181/3m1080p/cctv1.m3u8
CCTV1,http://221.7.175.154:8445/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$å¹¿è¥¿åæµ·èé
CCTV1,http://171.15.18.199:8180/TV00000000000000000001@HHZT
CCTV1,http://182.140.125.47:808/hls/1/index.m3u8
CCTV1,http://222.169.85.8:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://204.12.221.218:8181/3m1080p/cctv1.m3u8$LR•6•IPV4『线路5』
CCTV1,http://chen.ccwu.cc:1234/608807420
CCTV1,http://2280.eu.org:1234/608807420
CCTV1,http://bztv.tvbus.cc:8081/cdnlive/cctv1.m3u8
CCTV1,http://173.208.212.130:8181/1080p/cctv1.m3u8
CCTV1,http://1.94.31.214/php/py/k-web/ku9/py/socks5.py?ip=111.43.114.137:1080&u=http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8 $é»é¾æ±ç§»å¨
CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV1,http://fn.gcl.de5.net:5908/gsh950428/608807420
CCTV1,http://120.4.126.153:1234/608807420
CCTV1,http://222.134.19.49:8090/608807420
CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8
CCTV1,http://8.135.27.147:1234/608807420$仅供娱乐
CCTV1,http://182.61.15.47:80/608807420
CCTV1,http://111.76.19.227:1234/608807420
CCTV1,http://27.12.12.57:1234/608807420
CCTV1,http://42.94.210.135:7788/608807420
CCTV1,https://itv.1920.qzz.io/api/ysp.php?id=cctv1
CCTV1,http://39.77.25.244:4002/rtp/239.253.254.77:8000$山东联通11
